# v_mps,ax_min_mps2,ay_max_mps2,gg_exponent
10,15.4649415008574,12.7936333443964,2.00000001999982
11,15.0530115270559,16.2785286673219,2.00000001999949
12,14.9794043063774,17.0973085539681,1.99405190337767
13,15.0186489460714,17.1974019128359,2.00000001999981
14,15.0974680185464,17.3205229782164,2.00000001999974
15,15.1987317450767,17.4579369421853,2.00000001999966
16,15.3215048934337,17.6054830029962,2.00000001999965
17,15.4653578380817,17.760645576591,2.00000001999909
18,15.6267380772685,17.9221339124073,2.00000001999941
19,15.8053658478744,18.0892124957946,2.0000000199994
20,16.0001725105674,18.2615101618796,2.00000001999713
21,16.2418390067823,18.4442437564083,1.98803320721674
22,16.748482221908,18.6750298113789,1.88657765843345
23,17.1061943103066,18.8876685077361,1.83450466534047
24,17.2667107028349,19.0789562883442,1.83937945133241
25,17.0718755491255,19.2288749209657,1.94622574705744
26,17.0813557206644,19.4063471240336,2.00000001999841
27,17.2774137490209,19.6134483467647,2.00000001999838
28,18.8766964334273,19.9307463358362,1.7408046996362
29,18.8184779364362,20.0907097326697,1.85989232641476
30,18.8020646107364,20.2507014834906,1.9738390039975
31,19.067204666022,20.4579296671417,2.00000001999989
32,19.4230598178232,20.6805256783372,2.00000001999984
33,19.789848878157,20.9059534417786,2.00000001999983
34,20.168337188734,21.1339002373172,2.00000001999987
35,20.5579240079616,21.3640696648656,2.00000001999984
36,20.9603885664756,21.5961042322641,2.00000001999982
37,21.3757693027273,21.8296722278522,2.00000001999985
38,21.8010887987319,22.0644878729732,2.00000001999983
39,22.2367889432333,22.3001857735757,2.00000001999985
40,22.6846110499614,22.5363680699744,2.00000001999984
41,23.142373942971,22.772698755927,2.00000001999986
42,23.6123880125756,23.0087521912053,2.00000001999985
43,24.0932705198198,23.2441585708222,2.00000001999987
44,24.5838724307474,23.4785326033144,2.00000001999989
45,25.0844407141217,23.7114564399963,2.00000001999989
46,25.5978252133895,23.9424652076918,2.00000001999988
47,26.1196982046057,24.1711944812287,2.0000000199999
48,26.6527665155156,24.397164818555,2.00000001999991
49,27.1951034884747,24.6199559379795,2.00000001999992
50,27.7451395811769,24.8391308743687,2.00000001999992
51,28.3077133056057,25.0538992377563,2.00000001999992
52,28.880943961492,25.2636596037257,2.00000001999993
53,29.4625826189974,25.4683254889969,2.00000001999994
54,30.0515533159764,25.6674133134091,2.00000001999994
55,30.6507719459493,25.860395357621,2.00000001999995
56,31.2581156525441,26.0467798192574,2.00000001999995
57,31.8763737334963,26.2258790579856,2.00000001999976
58,31.9764910636787,26.3876552807879,2.00000001999818
59,33.4412666812918,24.37945442502,2.00000001999969
60,34.2481310470754,23.1714919499633,2.00000001999976
61,34.2481310470754,23.1714919499633,2.00000001999976
62,34.2481310470754,23.1714919499633,2.00000001999976
63,34.2481310470754,23.1714919499633,2.00000001999976
64,34.2481310470754,23.1714919499633,2.00000001999976
65,34.2481310470754,23.1714919499633,2.00000001999976
66,34.2481310470754,23.1714919499633,2.00000001999976
67,34.2481310470754,23.1714919499633,2.00000001999976
68,34.2481310470754,23.1714919499633,2.00000001999976
69,34.2481310470754,23.1714919499633,2.00000001999976
70,34.2481310470754,23.1714919499633,2.00000001999976
71,34.2481310470754,23.1714919499633,2.00000001999976
72,34.2481310470754,23.1714919499633,2.00000001999976
73,34.2481310470754,23.1714919499633,2.00000001999976
74,34.2481310470754,23.1714919499633,2.00000001999976
75,34.2481310470754,23.1714919499633,2.00000001999976
76,34.2481310470754,23.1714919499633,2.00000001999976
77,34.2481310470754,23.1714919499633,2.00000001999976
78,34.2481310470754,23.1714919499633,2.00000001999976
79,34.2481310470754,23.1714919499633,2.00000001999976
80,34.2481310470754,23.1714919499633,2.00000001999976
