# v_mps,ax_min_mps2,ay_max_mps2,gg_exponent
10,18.8226695166157,16.9634370188991,1.55882578922153
11,18.8993469016827,17.5602909580568,1.59098119780221
12,18.9248166678116,17.7146391176461,1.60670204765284
13,18.8039775826715,17.048777496694,1.605776393798
14,14.5132956024901,17.0615702506656,1.62749481764577
15,16.6904226009618,17.671880630342,1.7158772570455
16,14.604030121139,17.5471946773842,0.999999990000134
17,14.654717364128,16.4561833308442,1.45350877448147
18,14.4383640750785,17.8707624842599,1.60269262193966
19,16.5714865187298,18.2188763339723,1.48230377118755
20,16.9790731548819,18.3433610520927,1.48230377118755
21,17.133200980164,18.3748275875382,1.4930686755203
22,17.903549629629,17.3833339534064,1.10007073745616
23,18.1551448330421,16.8016841154932,1.1325009020356
24,18.6542341302924,16.4562342503379,0.999999990000035
25,19.1749258828178,16.0562342503379,0.999999990000134
26,19.5363948730487,16.0739453124625,1.01393246063891
27,19.847680764487,16.4739453124625,1.00930686755203
28,20.1776603075337,17.0757211890433,1.06043950966248
29,18.7244126906451,17.7104284602955,1.63872312579658
30,19.2297110695443,18.90331947535,1.59723125796579
31,19.7350094484436,18.90331947535,1.69446324010989
32,19.9316614784593,20.4932509097065,1.70827186086197
33,20.1792188917044,20.611075391233,1.68262300823454
34,20.1483334751632,19.305432771604,1.03384062584087
35,20.1579227988386,19.305432771604,1.03384062584087
36,20.1768508938167,19.305432771604,1.03384062584087
37,20.1517145258454,19.305432771604,1.03384062584087
38,22.378229824786,19.305432771604,1.03384062584087
39,20.2113437843982,19.747533677971,1.06936950269785
40,20.0753256951895,21.233538215678,1.3145587154485
41,20.1267171238837,22.2693543932214,1.34514676258895
42,23.0945811342872,22.2789430553457,1.2397657729416
43,23.4654041519696,22.4502885701708,1.2397657729416
44,23.8362271696519,22.5576869322286,1.2397657729416
45,24.2070501873343,22.8917361472293,1.2397657729416
46,24.5778732050166,23.0002084929074,1.2397657729416
47,24.948696222699,23.1086808385859,1.2397657729416
48,25.3195192403814,23.2171531842641,1.2397657729416
49,25.3268996038995,24.2618690667509,1.2397657729416
50,25.3342799674177,24.2639127517109,1.2397657729416
51,25.3416603309359,23.7786344966767,1.2397657729416
52,25.349040694454,23.7806373079374,1.2397657729416
53,25.3117067000875,23.7215503774063,1.2397657729416
54,25.3858052371073,23.7215503774063,1.2397657729416
55,25.2744509864668,23.7215503774063,1.2397657729416
56,25.0063584068,23.6085810308,2.0
57,24.7682652729,23.4619430753,2.0
58,24.4796085642,23.2810859808,2.0
59,24.1403882806,23.0660097475,2.0
60,23.7506044221,22.8167143753,2.0
61,23.3102569888,22.5331998641,2.0
62,22.8193459807,22.2154662141,2.0
63,22.2778713977,21.8635134252,2.0
64,21.6858332398,21.4773414973,2.0
65,21.0432315071,21.0569504306,2.0
66,20.3500661995,20.6023402250,2.0
67,19.6063373171,20.1135108804,2.0
68,18.8120448598,19.5904623970,2.0
69,17.9671888276,19.0331947747,2.0
70,17.0717692206,18.4417080134,2.0
71,16.1257860387,17.8160021133,2.0
72,15.1292392820,17.1560770742,2.0
73,14.0821289504,16.4619328963,2.0
74,12.9844550440,15.7335695794,2.0
75,11.8362175627,14.9709871237,2.0
76,10.6374165066,14.1741855290,2.0
77,9.3880518756,13.3431647955,2.0
78,8.0881236697,12.4779249230,2.0
79,6.7376318890,11.5784659116,2.0
80,5.3365765334,10.6447877614,2.0
